factuality,clarity,answer relevance,precision,context relevance,completeness,references,Average
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.142857142857143
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.857142857142857
4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.7142857142857144
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.142857142857143
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.571428571428571
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.857142857142857
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.142857142857143
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.1428571428571428
4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.5714285714285716
4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.142857142857143
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.142857142857143
5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.142857142857143
3.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.428571428571429
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.857142857142857
5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.428571428571429
5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.571428571428571
5.0,4.0,4.0,4.0,4.0,4.0,1.0,3.7142857142857144
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,2.0,4.0,1.0,3.2857142857142856
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.428571428571429
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.285714285714286
5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.571428571428571
4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.7142857142857144
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.5714285714285716
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.142857142857143
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.857142857142857
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.142857142857143
5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.285714285714286
4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.7142857142857144
2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.8571428571428572
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.142857142857143
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.571428571428571
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.857142857142857
