factualité,clarté,pertinence de la réponse,précision,pertinence du contexte,complétude,références,Average
3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.7142857142857144
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.5714285714285716
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.2857142857142856
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.142857142857143
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.7142857142857144
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.7142857142857144
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.7142857142857144
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.7142857142857144
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.7142857142857144
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.7142857142857144
3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.7142857142857144
3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.142857142857143
3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.7142857142857144
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.142857142857143
3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.7142857142857144
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.7142857142857144
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.7142857142857144
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.7142857142857144
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.2857142857142856
3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.7142857142857144
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.7142857142857144
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.5714285714285716
3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.142857142857143
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.142857142857143
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.857142857142857
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.7142857142857144
3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.7142857142857144
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4285714285714284
3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.7142857142857144
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.2857142857142856
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.857142857142857
2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.4285714285714286
3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.7142857142857144
